Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	28215	1	OK	0.7115163	-0.3179262	-0.0280732	-0.6260027	40.016	280.109	-79.498	0.1834768	0
1	Port 2: NDI 8700340  s/n:34802401	28218	1	OK	0.7107953	-0.3170461	-0.0295011	-0.6272013	40.029	280.051	-79.497	0.2088382	0
1	Port 2: NDI 8700340  s/n:34802401	28221	1	OK	0.7112987	-0.3166549	-0.0281951	-0.6268882	40.025	280.254	-79.328	0.1820290	0
1	Port 2: NDI 8700340  s/n:34802401	28224	1	OK	0.7102762	-0.3162036	-0.0290966	-0.6282328	40.287	280.238	-79.410	0.2088699	0
1	Port 2: NDI 8700340  s/n:34802401	28227	1	OK	0.7115275	-0.3163972	-0.0285859	-0.6267410	39.950	280.453	-79.415	0.2386776	0
1	Port 2: NDI 8700340  s/n:34802401	28230	1	OK	0.7110895	-0.3169153	-0.0287764	-0.6269675	39.873	280.502	-79.444	0.1649703	0
1	Port 2: NDI 8700340  s/n:34802401	28233	1	OK	0.7111603	-0.3173203	-0.0297279	-0.6266379	40.294	280.147	-79.448	0.2039667	0
1	Port 2: NDI 8700340  s/n:34802401	28236	1	OK	0.7124860	-0.3173130	-0.0290534	-0.6251656	40.369	280.338	-79.484	0.1916785	0
1	Port 2: NDI 8700340  s/n:34802401	28239	1	OK	0.7128101	-0.3178318	-0.0282850	-0.6245676	40.246	280.287	-79.221	0.1943346	0
1	Port 2: NDI 8700340  s/n:34802401	28242	1	OK	0.7129973	-0.3177467	-0.0282188	-0.6244002	40.120	280.438	-79.382	0.2009244	0
1	Port 2: NDI 8700340  s/n:34802401	28245	1	OK	0.7138946	-0.3175589	-0.0282442	-0.6234686	40.194	280.243	-79.483	0.1960224	0
1	Port 2: NDI 8700340  s/n:34802401	28248	1	OK	0.7145325	-0.3175405	-0.0261611	-0.6228378	40.083	280.297	-79.389	0.1524232	0
1	Port 2: NDI 8700340  s/n:34802401	28251	1	OK	0.7151350	-0.3176593	-0.0248841	-0.6221376	40.072	280.222	-79.523	0.1800911	0
1	Port 2: NDI 8700340  s/n:34802401	28254	1	OK	0.7150501	-0.3177172	-0.0254174	-0.6221842	40.277	279.839	-79.601	0.1856279	0
1	Port 2: NDI 8700340  s/n:34802401	28257	1	OK	0.7140749	-0.3174667	-0.0248067	-0.6234553	40.026	279.890	-79.604	0.1932059	0
1	Port 2: NDI 8700340  s/n:34802401	28260	1	OK	0.7137395	-0.3167611	-0.0240433	-0.6242277	40.209	279.845	-79.484	0.2072211	0
1	Port 2: NDI 8700340  s/n:34802401	28263	1	OK	0.7140079	-0.3158678	-0.0217416	-0.6244578	39.690	280.257	-79.403	0.1929672	0
1	Port 2: NDI 8700340  s/n:34802401	28266	1	OK	0.7141496	-0.3152336	-0.0222612	-0.6245980	40.284	279.952	-79.454	0.1774465	0
1	Port 2: NDI 8700340  s/n:34802401	28269	1	OK	0.7155481	-0.3153646	-0.0204561	-0.6229909	39.972	279.932	-79.363	0.1852402	0
1	Port 2: NDI 8700340  s/n:34802401	28272	1	OK	0.7163165	-0.3148216	-0.0200870	-0.6223942	40.265	279.722	-79.531	0.1578442	0
1	Port 2: NDI 8700340  s/n:34802401	28275	1	OK	0.7169567	-0.3145406	-0.0180087	-0.6218625	40.309	279.717	-79.545	0.1434248	0
1	Port 2: NDI 8700340  s/n:34802401	28278	1	OK	0.7175020	-0.3139808	-0.0162387	-0.6215652	39.885	280.012	-79.375	0.1872645	0
1	Port 2: NDI 8700340  s/n:34802401	28281	1	OK	0.7175289	-0.3136745	-0.0162816	-0.6216876	40.401	279.789	-79.173	0.2069321	0
1	Port 2: NDI 8700340  s/n:34802401	28284	1	OK	0.7172476	-0.3135675	-0.0169892	-0.6220472	40.574	279.720	-79.252	0.1735676	0
1	Port 2: NDI 8700340  s/n:34802401	28287	1	OK	0.7171496	-0.3139339	-0.0164489	-0.6219899	40.440	279.903	-79.156	0.2154754	0
1	Port 2: NDI 8700340  s/n:34802401	28290	1	OK	0.7171888	-0.3140617	-0.0163350	-0.6218832	40.443	280.075	-79.243	0.1546721	0
1	Port 2: NDI 8700340  s/n:34802401	28293	1	OK	0.7179492	-0.3146580	-0.0155611	-0.6207231	40.053	280.206	-79.237	0.1706488	0
1	Port 2: NDI 8700340  s/n:34802401	28296	1	OK	0.7176066	-0.3151804	-0.0158831	-0.6208460	39.983	280.176	-79.214	0.2099689	0
1	Port 2: NDI 8700340  s/n:34802401	28299	1	OK	0.7177757	-0.3157728	-0.0179389	-0.6202933	39.933	279.998	-79.453	0.1705498	0
