Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	872433	1	OK	0.5402068	-0.4380249	-0.0262038	-0.7180697	19.954	213.333	-90.809	0.2095255	0
1	Port 2: NDI 8700340  s/n:34802401	872436	1	OK	0.5403124	-0.4377295	-0.0264738	-0.7181605	20.116	212.954	-91.064	0.2073801	0
1	Port 2: NDI 8700340  s/n:34802401	872439	1	OK	0.5408093	-0.4378590	-0.0263990	-0.7177102	20.655	212.410	-90.805	0.1974810	0
1	Port 2: NDI 8700340  s/n:34802401	872442	1	OK	0.5409318	-0.4375848	-0.0275715	-0.7177410	20.544	212.243	-90.945	0.1896956	0
1	Port 2: NDI 8700340  s/n:34802401	872445	1	OK	0.5407590	-0.4374873	-0.0270301	-0.7179512	20.757	212.342	-91.323	0.1972476	0
1	Port 2: NDI 8700340  s/n:34802401	872448	1	OK	0.5401886	-0.4373539	-0.0274043	-0.7184475	20.834	212.882	-91.829	0.2106552	0
1	Port 2: NDI 8700340  s/n:34802401	872451	1	OK	0.5400956	-0.4373416	-0.0273697	-0.7185263	20.887	213.678	-92.257	0.2195070	0
1	Port 2: NDI 8700340  s/n:34802401	872454	1	OK	0.5392482	-0.4375588	-0.0273958	-0.7190293	21.107	214.927	-92.463	0.1957794	0
1	Port 2: NDI 8700340  s/n:34802401	872457	1	OK	0.5389505	-0.4374022	-0.0275526	-0.7193418	20.761	216.559	-92.303	0.2034634	0
1	Port 2: NDI 8700340  s/n:34802401	872460	1	OK	0.5373878	-0.4379603	-0.0257255	-0.7202384	20.251	218.995	-91.302	0.1950374	0
1	Port 2: NDI 8700340  s/n:34802401	872463	1	OK	0.5354767	-0.4382554	-0.0245821	-0.7215210	19.856	221.157	-90.791	0.2010549	0
1	Port 2: NDI 8700340  s/n:34802401	872466	1	OK	0.5344486	-0.4385356	-0.0228322	-0.7221703	18.651	223.096	-90.629	0.1963810	0
1	Port 2: NDI 8700340  s/n:34802401	872469	1	OK	0.5337798	-0.4388830	-0.0210853	-0.7225069	16.978	224.415	-90.544	0.2062708	0
1	Port 2: NDI 8700340  s/n:34802401	872472	1	OK	0.5323389	-0.4386689	-0.0209850	-0.7237020	15.144	224.837	-90.588	0.2150498	0
