Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	134946	1	OK	0.3780748	-0.4373276	-0.0212945	-0.8156903	40.599	333.100	-94.135	0.1272686	0
1	Port 2: NDI 8700340  s/n:34802401	134949	1	OK	0.3812791	-0.4368987	-0.0188615	-0.8144876	40.195	333.697	-94.384	0.1129463	0
1	Port 2: NDI 8700340  s/n:34802401	134952	1	OK	0.3791415	-0.4371966	-0.0199239	-0.8152999	40.901	333.257	-94.491	0.1178724	0
1	Port 2: NDI 8700340  s/n:34802401	134955	1	OK	0.3775947	-0.4382655	-0.0201317	-0.8154387	40.547	333.388	-94.254	0.1389713	0
1	Port 2: NDI 8700340  s/n:34802401	134958	1	OK	0.3766074	-0.4387982	-0.0209924	-0.8155871	40.287	333.476	-94.192	0.1621282	0
1	Port 2: NDI 8700340  s/n:34802401	134961	1	OK	0.3758760	-0.4387503	-0.0217223	-0.8159311	41.054	333.227	-94.606	0.1376466	0
1	Port 2: NDI 8700340  s/n:34802401	134964	1	OK	0.3756527	-0.4395030	-0.0214260	-0.8156366	40.907	333.578	-94.781	0.1561913	0
1	Port 2: NDI 8700340  s/n:34802401	134967	1	OK	0.3740820	-0.4404444	-0.0216512	-0.8158447	41.005	333.847	-94.987	0.1454950	0
1	Port 2: NDI 8700340  s/n:34802401	134970	1	OK	0.3700091	-0.4413952	-0.0220927	-0.8171753	41.220	334.145	-95.178	0.1271151	0
1	Port 2: NDI 8700340  s/n:34802401	134973	1	OK	0.3686523	-0.4417753	-0.0222791	-0.8175780	42.127	333.995	-95.190	0.1419437	0
1	Port 2: NDI 8700340  s/n:34802401	134976	1	OK	0.3696179	-0.4425785	-0.0215945	-0.8167255	41.807	333.832	-95.018	0.1625932	0
1	Port 2: NDI 8700340  s/n:34802401	134979	1	OK	0.3707320	-0.4430751	-0.0204038	-0.8159816	41.288	333.787	-94.745	0.1438014	0
1	Port 2: NDI 8700340  s/n:34802401	134982	1	OK	0.3701168	-0.4430981	-0.0207667	-0.8162392	41.521	333.324	-94.599	0.1616560	0
1	Port 2: NDI 8700340  s/n:34802401	134985	1	OK	0.3677936	-0.4438068	-0.0205502	-0.8169095	41.391	333.309	-94.449	0.1426003	0
1	Port 2: NDI 8700340  s/n:34802401	134988	1	OK	0.3673746	-0.4440020	-0.0210873	-0.8169783	40.822	333.137	-94.371	0.1297341	0
1	Port 2: NDI 8700340  s/n:34802401	134991	1	OK	0.3668448	-0.4447261	-0.0197741	-0.8168553	40.764	333.200	-94.304	0.1318433	0
1	Port 2: NDI 8700340  s/n:34802401	134994	1	OK	0.3652833	-0.4453057	-0.0195807	-0.8172439	41.271	332.960	-94.362	0.1105096	0
1	Port 2: NDI 8700340  s/n:34802401	134997	1	OK	0.3644196	-0.4456998	-0.0200304	-0.8174038	41.245	332.777	-94.303	0.1255704	0
1	Port 2: NDI 8700340  s/n:34802401	135000	1	OK	0.3622771	-0.4470103	-0.0194586	-0.8176543	41.056	332.681	-94.079	0.1190457	0
1	Port 2: NDI 8700340  s/n:34802401	135003	1	OK	0.3619732	-0.4489625	-0.0187458	-0.8167354	41.326	332.211	-93.624	0.1206677	0
1	Port 2: NDI 8700340  s/n:34802401	135006	1	OK	0.3626801	-0.4500682	-0.0168434	-0.8158542	42.233	331.921	-93.411	0.1139738	0
1	Port 2: NDI 8700340  s/n:34802401	135009	1	OK	0.3649073	-0.4520535	-0.0145255	-0.8138054	43.484	330.913	-91.723	0.1416791	0
1	Port 2: NDI 8700340  s/n:34802401	135012	1	OK	0.3721535	-0.4543622	-0.0092456	-0.8093030	44.991	328.898	-89.771	0.1273779	0
1	Port 2: NDI 8700340  s/n:34802401	135015	1	OK	0.3769854	-0.4557990	-0.0040948	-0.8062956	46.370	327.210	-88.826	0.1263596	0
1	Port 2: NDI 8700340  s/n:34802401	135018	1	OK	0.3767378	-0.4572407	0.0000982	-0.8056051	48.018	326.266	-88.718	0.1278568	0
1	Port 2: NDI 8700340  s/n:34802401	135021	1	OK	0.3740827	-0.4592480	0.0023576	-0.8056971	48.390	326.283	-88.954	0.1294705	0
1	Port 2: NDI 8700340  s/n:34802401	135024	1	OK	0.3707045	-0.4615628	0.0046424	-0.8059258	49.621	326.243	-89.034	0.1073387	0
1	Port 2: NDI 8700340  s/n:34802401	135027	1	OK	0.3732642	-0.4619133	0.0073745	-0.8045219	51.660	325.613	-89.186	0.1266203	0
1	Port 2: NDI 8700340  s/n:34802401	135030	1	OK	0.3769389	-0.4614117	0.0084213	-0.8030849	54.241	324.212	-89.588	0.1263050	0
1	Port 2: NDI 8700340  s/n:34802401	135033	1	OK	0.3818569	-0.4608342	0.0110015	-0.8010594	57.216	322.793	-89.942	0.1142194	0
1	Port 2: NDI 8700340  s/n:34802401	135036	1	OK	0.3844635	-0.4589884	0.0102430	-0.8008823	60.040	321.592	-90.940	0.1160577	0
1	Port 2: NDI 8700340  s/n:34802401	135039	1	OK	0.3878374	-0.4590706	0.0128127	-0.7991696	62.234	321.156	-91.493	0.1055485	0
1	Port 2: NDI 8700340  s/n:34802401	135042	1	OK	0.3903822	-0.4588709	0.0146416	-0.7980130	65.193	320.266	-92.257	0.1412400	0
1	Port 2: NDI 8700340  s/n:34802401	135045	1	OK	0.3912866	-0.4596399	0.0175837	-0.7970676	68.238	319.689	-92.647	0.1801376	0
1	Port 2: NDI 8700340  s/n:34802401	135048	1	OK	0.3904157	-0.4591770	0.0171460	-0.7977707	71.400	319.160	-93.258	0.1040717	0
1	Port 2: NDI 8700340  s/n:34802401	135051	1	OK	0.3953752	-0.4582915	0.0185455	-0.7958036	74.914	318.285	-93.994	0.1541880	0
1	Port 2: NDI 8700340  s/n:34802401	135054	1	OK	0.3970173	-0.4574535	0.0195327	-0.7954446	78.305	317.904	-94.895	0.1011630	0
1	Port 2: NDI 8700340  s/n:34802401	135057	1	OK	0.3953747	-0.4580678	0.0213622	-0.7958620	82.103	317.411	-95.367	0.1083303	0
1	Port 2: NDI 8700340  s/n:34802401	135060	1	OK	0.3954678	-0.4591997	0.0231594	-0.7951129	85.424	316.486	-95.847	0.1375717	0
1	Port 2: NDI 8700340  s/n:34802401	135063	1	OK	0.3957330	-0.4595658	0.0246571	-0.7947243	89.764	315.043	-96.100	0.1091040	0
1	Port 2: NDI 8700340  s/n:34802401	135066	1	OK	0.3978597	-0.4597920	0.0259556	-0.7934893	93.782	313.446	-96.401	0.1082195	0
1	Port 2: NDI 8700340  s/n:34802401	135069	1	OK	0.4032553	-0.4589692	0.0250658	-0.7912674	97.918	310.666	-97.053	0.1059704	0
1	Port 2: NDI 8700340  s/n:34802401	135072	1	OK	0.4062965	-0.4600736	0.0281012	-0.7889650	100.954	308.991	-97.030	0.1040814	0
1	Port 2: NDI 8700340  s/n:34802401	135075	1	OK	0.4075212	-0.4607884	0.0294683	-0.7878655	104.335	307.095	-96.728	0.1091199	0
1	Port 2: NDI 8700340  s/n:34802401	135078	1	OK	0.4118797	-0.4608175	0.0300118	-0.7855582	107.518	304.974	-96.712	0.1072764	0
1	Port 2: NDI 8700340  s/n:34802401	135081	1	OK	0.4153869	-0.4609885	0.0294963	-0.7836283	110.035	303.059	-96.519	0.1163060	0
1	Port 2: NDI 8700340  s/n:34802401	135084	1	OK	0.4192543	-0.4607557	0.0305684	-0.7816621	113.251	300.798	-96.621	0.1201785	0
1	Port 2: NDI 8700340  s/n:34802401	135087	1	OK	0.4226738	-0.4604838	0.0306467	-0.7799758	116.495	298.387	-96.605	0.1406449	0
1	Port 2: NDI 8700340  s/n:34802401	135090	1	OK	0.4240320	-0.4608697	0.0312434	-0.7789864	119.066	296.585	-96.737	0.1295914	0
1	Port 2: NDI 8700340  s/n:34802401	135093	1	OK	0.4264734	-0.4613019	0.0322734	-0.7773541	121.797	294.720	-96.887	0.1164307	0
1	Port 2: NDI 8700340  s/n:34802401	135096	1	OK	0.4276366	-0.4630363	0.0343499	-0.7755929	124.150	292.932	-97.133	0.1570048	0
1	Port 2: NDI 8700340  s/n:34802401	135099	1	OK	0.4290843	-0.4634753	0.0340035	-0.7745457	126.978	290.726	-97.211	0.1038749	0
1	Port 2: NDI 8700340  s/n:34802401	135102	1	OK	0.4335646	-0.4636752	0.0344097	-0.7719087	129.204	288.841	-97.251	0.1268985	0
1	Port 2: NDI 8700340  s/n:34802401	135105	1	OK	0.4368469	-0.4644285	0.0359746	-0.7695303	131.470	287.205	-97.627	0.1220569	0
1	Port 2: NDI 8700340  s/n:34802401	135108	1	OK	0.4379935	-0.4641744	0.0347083	-0.7690898	134.124	285.102	-98.232	0.1121138	0
1	Port 2: NDI 8700340  s/n:34802401	135111	1	OK	0.4415195	-0.4645507	0.0369541	-0.7667383	136.483	283.017	-98.657	0.0899084	0
1	Port 2: NDI 8700340  s/n:34802401	135114	1	OK	0.4459756	-0.4651615	0.0366160	-0.7637996	138.671	280.460	-98.496	0.1105739	0
1	Port 2: NDI 8700340  s/n:34802401	135117	1	OK	0.4486984	-0.4652714	0.0335565	-0.7622770	141.177	277.508	-98.844	0.1191211	0
