Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	6682	1	OK	0.6880252	-0.4250806	0.0523409	-0.5858228	19.439	194.572	-97.474	0.2375933	0
1	Port 2: NDI 8700340  s/n:34802401	6685	1	OK	0.6906373	-0.4244295	0.0549890	-0.5829717	19.935	194.182	-98.253	0.2369075	0
1	Port 2: NDI 8700340  s/n:34802401	6688	1	OK	0.6932289	-0.4241612	0.0585863	-0.5797314	20.183	193.965	-98.639	0.2172027	0
1	Port 2: NDI 8700340  s/n:34802401	6691	1	OK	0.6944533	-0.4243353	0.0604094	-0.5779489	19.653	194.038	-98.839	0.2355747	0
1	Port 2: NDI 8700340  s/n:34802401	6694	1	OK	0.6959558	-0.4240642	0.0619942	-0.5761699	19.880	193.868	-98.977	0.2238526	0
1	Port 2: NDI 8700340  s/n:34802401	6697	1	OK	0.6990822	-0.4230193	0.0648278	-0.5728317	20.099	193.790	-99.161	0.2213017	0
1	Port 2: NDI 8700340  s/n:34802401	6700	1	OK	0.6997197	-0.4216328	0.0648970	-0.5730676	19.728	194.438	-99.075	0.2213360	0
1	Port 2: NDI 8700340  s/n:34802401	6703	1	OK	0.6940278	-0.4214808	0.0597779	-0.5806083	19.149	195.447	-98.693	0.2302082	0
1	Port 2: NDI 8700340  s/n:34802401	6706	1	OK	0.6888980	-0.4221032	0.0569177	-0.5865226	18.624	197.022	-98.164	0.2409089	0
1	Port 2: NDI 8700340  s/n:34802401	6709	1	OK	0.6834996	-0.4234183	0.0552141	-0.5920276	16.737	199.808	-97.470	0.2291710	0
1	Port 2: NDI 8700340  s/n:34802401	6712	1	OK	0.6779871	-0.4248412	0.0542591	-0.5974105	15.080	203.117	-96.376	0.2423328	0
1	Port 2: NDI 8700340  s/n:34802401	6715	1	OK	0.6715873	-0.4265839	0.0539488	-0.6033955	13.111	207.056	-94.859	0.2265278	0
1	Port 2: NDI 8700340  s/n:34802401	6718	1	OK	0.6655222	-0.4286687	0.0548639	-0.6085338	11.055	211.263	-93.066	0.2053830	0
1	Port 2: NDI 8700340  s/n:34802401	6721	1	OK	0.6603337	-0.4311312	0.0550713	-0.6124152	8.405	215.155	-91.381	0.1883967	0
1	Port 2: NDI 8700340  s/n:34802401	6724	1	OK	0.6554270	-0.4322107	0.0573506	-0.6167011	6.280	219.201	-90.451	0.1879430	0
1	Port 2: NDI 8700340  s/n:34802401	6727	1	OK	0.6502805	-0.4321778	0.0588756	-0.6220059	4.382	223.222	-90.363	0.1676909	0
1	Port 2: NDI 8700340  s/n:34802401	6730	1	OK	0.6454693	-0.4308893	0.0602765	-0.6277504	2.782	227.283	-91.091	0.1921689	0
1	Port 2: NDI 8700340  s/n:34802401	6733	1	OK	0.6414460	-0.4303803	0.0612849	-0.6321108	1.820	230.092	-91.853	0.1848757	0
1	Port 2: NDI 8700340  s/n:34802401	6736	1	OK	0.6406237	-0.4292731	0.0604683	-0.6337739	3.085	230.322	-93.021	0.1837883	0
1	Port 2: NDI 8700340  s/n:34802401	6739	1	OK	0.6401551	-0.4293756	0.0588681	-0.6343284	4.596	229.038	-93.607	0.1861353	0
1	Port 2: NDI 8700340  s/n:34802401	6742	1	OK	0.6400632	-0.4301248	0.0559686	-0.6341760	6.931	226.009	-93.891	0.1977504	0
1	Port 2: NDI 8700340  s/n:34802401	6745	1	OK	0.6402747	-0.4311662	0.0538987	-0.6334342	9.657	222.289	-93.827	0.1983367	0
1	Port 2: NDI 8700340  s/n:34802401	6748	1	OK	0.6407427	-0.4323174	0.0520110	-0.6323332	12.560	218.420	-93.470	0.1919687	0
1	Port 2: NDI 8700340  s/n:34802401	6751	1	OK	0.6413801	-0.4330996	0.0516811	-0.6311777	15.566	214.854	-93.554	0.1946014	0
1	Port 2: NDI 8700340  s/n:34802401	6754	1	OK	0.6414655	-0.4341876	0.0518604	-0.6303282	18.028	211.885	-93.542	0.1730023	0
1	Port 2: NDI 8700340  s/n:34802401	6757	1	OK	0.6406190	-0.4355369	0.0508856	-0.6303377	20.958	208.834	-93.714	0.1885585	0
1	Port 2: NDI 8700340  s/n:34802401	6760	1	OK	0.6397838	-0.4368663	0.0468681	-0.6305774	24.192	205.487	-93.853	0.2039685	0
1	Port 2: NDI 8700340  s/n:34802401	6763	1	OK	0.6428255	-0.4379841	0.0447970	-0.6268481	27.602	202.033	-93.726	0.1969535	0
1	Port 2: NDI 8700340  s/n:34802401	6766	1	OK	0.6434973	-0.4391008	0.0405686	-0.6256644	31.787	198.476	-93.466	0.1936963	0
1	Port 2: NDI 8700340  s/n:34802401	6769	1	OK	0.6457938	-0.4388908	0.0360996	-0.6237164	35.450	195.559	-93.685	0.1992466	0
1	Port 2: NDI 8700340  s/n:34802401	6772	1	OK	0.6461002	-0.4394970	0.0332314	-0.6231312	37.842	193.731	-93.716	0.2046963	0
1	Port 2: NDI 8700340  s/n:34802401	6775	1	OK	0.6447746	-0.4399708	0.0317631	-0.6242456	38.835	193.660	-93.612	0.2153158	0
1	Port 2: NDI 8700340  s/n:34802401	6778	1	OK	0.6435272	-0.4403269	0.0306146	-0.6253381	38.806	194.822	-93.365	0.2057552	0
1	Port 2: NDI 8700340  s/n:34802401	6781	1	OK	0.6397122	-0.4410960	0.0293535	-0.6287614	38.108	197.147	-93.093	0.2447424	0
1	Port 2: NDI 8700340  s/n:34802401	6784	1	OK	0.6358300	-0.4416878	0.0275192	-0.6323566	37.431	199.790	-92.859	0.2222484	0
1	Port 2: NDI 8700340  s/n:34802401	6787	1	OK	0.6325674	-0.4435007	0.0265080	-0.6343997	35.678	202.841	-91.825	0.2201648	0
1	Port 2: NDI 8700340  s/n:34802401	6790	1	OK	0.6292145	-0.4449808	0.0267897	-0.6366816	33.791	206.309	-90.765	0.2063123	0
1	Port 2: NDI 8700340  s/n:34802401	6793	1	OK	0.6254513	-0.4460536	0.0275516	-0.6395997	31.921	209.883	-90.044	0.1942806	0
1	Port 2: NDI 8700340  s/n:34802401	6796	1	OK	0.6220056	-0.4471298	0.0280316	-0.6421824	29.436	213.640	-89.337	0.2130109	0
1	Port 2: NDI 8700340  s/n:34802401	6799	1	OK	0.6182530	-0.4487559	0.0291585	-0.6446171	26.734	217.434	-88.312	0.1908718	0
1	Port 2: NDI 8700340  s/n:34802401	6802	1	OK	0.6137562	-0.4491576	0.0292022	-0.6486200	24.456	221.304	-87.951	0.2004821	0
1	Port 2: NDI 8700340  s/n:34802401	6805	1	OK	0.6101715	-0.4499184	0.0310886	-0.6513814	21.482	225.638	-87.540	0.2106446	0
1	Port 2: NDI 8700340  s/n:34802401	6808	1	OK	0.6066747	-0.4500310	0.0301674	-0.6546051	19.373	229.374	-87.575	0.1958589	0
1	Port 2: NDI 8700340  s/n:34802401	6811	1	OK	0.6023943	-0.4513861	0.0330519	-0.6574795	16.838	233.819	-87.002	0.1901435	0
1	Port 2: NDI 8700340  s/n:34802401	6814	1	OK	0.6002513	-0.4517910	0.0363206	-0.6589871	14.529	237.975	-87.134	0.2051346	0
1	Port 2: NDI 8700340  s/n:34802401	6817	1	OK	0.5984804	-0.4524082	0.0406941	-0.6599182	12.487	241.536	-87.213	0.1646363	0
1	Port 2: NDI 8700340  s/n:34802401	6820	1	OK	0.5959280	-0.4531361	0.0410458	-0.6617044	12.225	242.864	-87.471	0.1988573	0
1	Port 2: NDI 8700340  s/n:34802401	6823	1	OK	0.5960263	-0.4532297	0.0412003	-0.6615422	13.103	242.424	-88.268	0.1729300	0
1	Port 2: NDI 8700340  s/n:34802401	6826	1	OK	0.5971359	-0.4539380	0.0401580	-0.6601184	14.795	240.415	-89.086	0.1925651	0
1	Port 2: NDI 8700340  s/n:34802401	6829	1	OK	0.5973413	-0.4562093	0.0398295	-0.6583844	17.391	237.348	-89.251	0.2199291	0
1	Port 2: NDI 8700340  s/n:34802401	6832	1	OK	0.5977760	-0.4594247	0.0410507	-0.6556734	19.824	234.256	-88.926	0.1731891	0
1	Port 2: NDI 8700340  s/n:34802401	6835	1	OK	0.5995176	-0.4616709	0.0373640	-0.6527194	23.199	230.156	-88.792	0.1855620	0
1	Port 2: NDI 8700340  s/n:34802401	6838	1	OK	0.6034075	-0.4625392	0.0352012	-0.6486276	27.086	226.139	-89.021	0.1707799	0
1	Port 2: NDI 8700340  s/n:34802401	6841	1	OK	0.6053576	-0.4644267	0.0314229	-0.6456490	30.539	222.069	-88.737	0.2040562	0
1	Port 2: NDI 8700340  s/n:34802401	6844	1	OK	0.6081014	-0.4647153	0.0270189	-0.6430570	34.394	218.152	-89.222	0.1934495	0
1	Port 2: NDI 8700340  s/n:34802401	6847	1	OK	0.6103535	-0.4650702	0.0228349	-0.6408252	38.012	214.778	-89.186	0.1771475	0
1	Port 2: NDI 8700340  s/n:34802401	6850	1	OK	0.6129447	-0.4647967	0.0163385	-0.6387456	42.072	211.325	-89.539	0.2019916	0
1	Port 2: NDI 8700340  s/n:34802401	6853	1	OK	0.6161822	-0.4649854	0.0156296	-0.6355028	44.627	209.699	-90.121	0.1841407	0
1	Port 2: NDI 8700340  s/n:34802401	6856	1	OK	0.6144982	-0.4648127	0.0132744	-0.6373107	45.878	210.068	-90.838	0.1880657	0
1	Port 2: NDI 8700340  s/n:34802401	6859	1	OK	0.6129398	-0.4654794	0.0131996	-0.6383255	45.482	212.075	-90.913	0.1807085	0
1	Port 2: NDI 8700340  s/n:34802401	6862	1	OK	0.6105824	-0.4660683	0.0137069	-0.6401419	44.535	215.001	-90.383	0.1695811	0
1	Port 2: NDI 8700340  s/n:34802401	6865	1	OK	0.6073900	-0.4661765	0.0137620	-0.6430922	43.215	218.636	-89.954	0.1899419	0
1	Port 2: NDI 8700340  s/n:34802401	6868	1	OK	0.6054240	-0.4658437	0.0154133	-0.6451464	41.161	222.847	-89.886	0.2224750	0
1	Port 2: NDI 8700340  s/n:34802401	6871	1	OK	0.6042249	-0.4658732	0.0165506	-0.6462201	39.429	226.475	-89.266	0.2062526	0
1	Port 2: NDI 8700340  s/n:34802401	6874	1	OK	0.6027415	-0.4666026	0.0176093	-0.6470507	37.788	229.493	-88.264	0.2092747	0
1	Port 2: NDI 8700340  s/n:34802401	6877	1	OK	0.6013918	-0.4669227	0.0192088	-0.6480294	36.366	232.285	-87.290	0.1742868	0
1	Port 2: NDI 8700340  s/n:34802401	6880	1	OK	0.5977713	-0.4682521	0.0168009	-0.6504823	34.979	234.384	-85.998	0.2016577	0
1	Port 2: NDI 8700340  s/n:34802401	6883	1	OK	0.5949797	-0.4693546	0.0169778	-0.6522401	33.380	236.907	-85.129	0.1963161	0
1	Port 2: NDI 8700340  s/n:34802401	6886	1	OK	0.5925833	-0.4694222	0.0169919	-0.6543692	31.473	239.801	-85.279	0.1756764	0
1	Port 2: NDI 8700340  s/n:34802401	6889	1	OK	0.5874365	-0.4711296	0.0166979	-0.6577814	30.069	242.261	-84.280	0.2031888	0
1	Port 2: NDI 8700340  s/n:34802401	6892	1	OK	0.5863116	-0.4700475	0.0165001	-0.6595618	29.307	244.352	-85.150	0.2137081	0
1	Port 2: NDI 8700340  s/n:34802401	6895	1	OK	0.5853103	-0.4704123	0.0170411	-0.6601770	27.980	246.417	-85.444	0.1912085	0
1	Port 2: NDI 8700340  s/n:34802401	6898	1	OK	0.5828669	-0.4702828	0.0163060	-0.6624457	27.808	247.795	-85.864	0.2281476	0
1	Port 2: NDI 8700340  s/n:34802401	6901	1	OK	0.5823953	-0.4706651	0.0161518	-0.6625928	27.466	248.491	-86.145	0.2231604	0
1	Port 2: NDI 8700340  s/n:34802401	6904	1	OK	0.5827594	-0.4708503	0.0160651	-0.6621430	27.517	248.552	-86.093	0.2175388	0
1	Port 2: NDI 8700340  s/n:34802401	6907	1	OK	0.5822890	-0.4712525	0.0153010	-0.6622888	28.593	247.680	-85.947	0.2283703	0
1	Port 2: NDI 8700340  s/n:34802401	6910	1	OK	0.5839441	-0.4719040	0.0162894	-0.6603412	29.685	246.465	-85.895	0.2038308	0
1	Port 2: NDI 8700340  s/n:34802401	6913	1	OK	0.5834157	-0.4723761	0.0132107	-0.6605395	32.059	244.496	-86.069	0.2305416	0
1	Port 2: NDI 8700340  s/n:34802401	6916	1	OK	0.5846601	-0.4728194	0.0147007	-0.6590890	34.067	243.237	-86.431	0.2122639	0
1	Port 2: NDI 8700340  s/n:34802401	6919	1	OK	0.5844386	-0.4739484	0.0152443	-0.6584619	35.339	242.382	-86.400	0.2365802	0
1	Port 2: NDI 8700340  s/n:34802401	6922	1	OK	0.5835427	-0.4748870	0.0155014	-0.6585741	36.787	241.747	-85.983	0.2332916	0
1	Port 2: NDI 8700340  s/n:34802401	6925	1	OK	0.5870986	-0.4740341	0.0133859	-0.6560699	39.432	239.989	-86.020	0.2040370	0
1	Port 2: NDI 8700340  s/n:34802401	6928	1	OK	0.5886041	-0.4742582	0.0132464	-0.6545600	41.071	238.856	-85.638	0.2160280	0
1	Port 2: NDI 8700340  s/n:34802401	6931	1	OK	0.5896642	-0.4744855	0.0137154	-0.6534306	42.240	238.072	-85.413	0.1967710	0
1	Port 2: NDI 8700340  s/n:34802401	6934	1	OK	0.5918113	-0.4726397	0.0103989	-0.6528882	44.196	236.740	-86.512	0.2362336	0
1	Port 2: NDI 8700340  s/n:34802401	6937	1	OK	0.5937276	-0.4710147	0.0085021	-0.6523499	46.375	235.392	-87.509	0.2246636	0
1	Port 2: NDI 8700340  s/n:34802401	6940	1	OK	0.5964221	-0.4703665	0.0069855	-0.6503747	48.617	233.742	-88.169	0.2000009	0
1	Port 2: NDI 8700340  s/n:34802401	6943	1	OK	0.5991715	-0.4696922	0.0043365	-0.6483548	51.438	231.558	-89.021	0.2183746	0
1	Port 2: NDI 8700340  s/n:34802401	6946	1	OK	0.6014177	-0.4686960	0.0016932	-0.6470069	53.814	229.904	-90.194	0.2219079	0
1	Port 2: NDI 8700340  s/n:34802401	6949	1	OK	0.6028440	-0.4685242	0.0008967	-0.6458045	54.545	229.606	-90.729	0.2060744	0
1	Port 2: NDI 8700340  s/n:34802401	6952	1	OK	0.6008513	-0.4681404	0.0000355	-0.6479370	54.084	230.823	-91.125	0.2109955	0
1	Port 2: NDI 8700340  s/n:34802401	6955	1	OK	0.5996520	-0.4685974	0.0001946	-0.6487171	52.224	233.019	-90.647	0.2134875	0
1	Port 2: NDI 8700340  s/n:34802401	6958	1	OK	0.5977638	-0.4687420	0.0018206	-0.6503507	50.428	235.751	-90.208	0.2089608	0
1	Port 2: NDI 8700340  s/n:34802401	6961	1	OK	0.5958506	-0.4692819	0.0015210	-0.6517164	48.213	238.481	-89.402	0.2068735	0
1	Port 2: NDI 8700340  s/n:34802401	6964	1	OK	0.5928837	-0.4708399	0.0048445	-0.6532804	45.247	242.173	-88.185	0.1986271	0
1	Port 2: NDI 8700340  s/n:34802401	6967	1	OK	0.5890311	-0.4706131	0.0004945	-0.6569363	44.079	244.585	-87.961	0.2071247	0
1	Port 2: NDI 8700340  s/n:34802401	6970	1	OK	0.5865301	-0.4714241	0.0049492	-0.6585721	40.984	248.748	-87.461	0.2176220	0
1	Port 2: NDI 8700340  s/n:34802401	6973	1	OK	0.5833470	-0.4715530	0.0006339	-0.6613197	40.227	250.567	-87.365	0.2146268	0
1	Port 2: NDI 8700340  s/n:34802401	6976	1	OK	0.5790813	-0.4734171	0.0011169	-0.6637318	38.365	253.162	-86.327	0.2273548	0
1	Port 2: NDI 8700340  s/n:34802401	6979	1	OK	0.5764436	-0.4743404	0.0038695	-0.6653563	36.182	256.210	-85.983	0.2009416	0
1	Port 2: NDI 8700340  s/n:34802401	6982	1	OK	0.5696171	-0.4770458	-0.0036747	-0.6692908	36.045	257.004	-84.474	0.2008551	0
1	Port 2: NDI 8700340  s/n:34802401	6985	1	OK	0.5689468	-0.4772582	-0.0018524	-0.6697169	35.058	259.256	-84.590	0.2052789	0
1	Port 2: NDI 8700340  s/n:34802401	6988	1	OK	0.5690506	-0.4740108	-0.0009234	-0.6719333	34.724	261.755	-87.191	0.1984703	0
1	Port 2: NDI 8700340  s/n:34802401	6991	1	OK	0.5693579	-0.4723314	0.0013707	-0.6728542	34.869	263.548	-89.079	0.2020232	0
1	Port 2: NDI 8700340  s/n:34802401	6994	1	OK	0.5695413	-0.4715588	0.0017643	-0.6732399	34.794	264.204	-90.438	0.2258714	0
1	Port 2: NDI 8700340  s/n:34802401	6997	1	OK	0.5688131	-0.4722497	0.0028167	-0.6733676	35.857	263.358	-90.833	0.2363760	0
1	Port 2: NDI 8700340  s/n:34802401	7000	1	OK	0.5709665	-0.4722213	0.0009292	-0.6715679	37.589	260.834	-90.773	0.2334346	0
1	Port 2: NDI 8700340  s/n:34802401	7003	1	OK	0.5732407	-0.4725862	0.0013103	-0.6693696	39.899	257.809	-90.697	0.2349063	0
1	Port 2: NDI 8700340  s/n:34802401	7006	1	OK	0.5737125	-0.4726978	0.0009073	-0.6688871	42.024	255.082	-90.752	0.2315486	0
1	Port 2: NDI 8700340  s/n:34802401	7009	1	OK	0.5745269	-0.4740546	0.0027870	-0.6672206	43.060	253.364	-90.572	0.2112505	0
1	Port 2: NDI 8700340  s/n:34802401	7012	1	OK	0.5741611	-0.4743868	0.0004436	-0.6673050	45.249	251.374	-90.851	0.2349962	0
1	Port 2: NDI 8700340  s/n:34802401	7015	1	OK	0.5731460	-0.4749667	-0.0010224	-0.6677644	47.623	249.725	-91.033	0.2380075	0
1	Port 2: NDI 8700340  s/n:34802401	7018	1	OK	0.5711018	-0.4773369	0.0003061	-0.6678265	49.096	248.764	-90.367	0.2270400	0
1	Port 2: NDI 8700340  s/n:34802401	7021	1	OK	0.5754752	-0.4746150	-0.0063049	-0.6659798	53.583	245.381	-91.878	0.2470486	0
1	Port 2: NDI 8700340  s/n:34802401	7024	1	OK	0.5771506	-0.4752924	-0.0052782	-0.6640531	56.016	243.407	-92.382	0.2443527	0
1	Port 2: NDI 8700340  s/n:34802401	7027	1	OK	0.5806431	-0.4745335	-0.0094169	-0.6615005	59.543	240.204	-93.024	0.2443835	0
1	Port 2: NDI 8700340  s/n:34802401	7030	1	OK	0.5840382	-0.4743296	-0.0117559	-0.6586142	62.275	237.473	-93.517	0.2292659	0
1	Port 2: NDI 8700340  s/n:34802401	7033	1	OK	0.5858262	-0.4746301	-0.0135373	-0.6567730	64.064	235.642	-93.657	0.2193145	0
1	Port 2: NDI 8700340  s/n:34802401	7036	1	OK	0.5857631	-0.4745734	-0.0145788	-0.6568479	64.741	235.381	-93.947	0.2178847	0
1	Port 2: NDI 8700340  s/n:34802401	7039	1	OK	0.5841064	-0.4743511	-0.0153144	-0.6584651	64.299	236.771	-94.199	0.2334262	0
1	Port 2: NDI 8700340  s/n:34802401	7042	1	OK	0.5826889	-0.4741141	-0.0152984	-0.6598904	63.432	239.158	-94.449	0.2268378	0
1	Port 2: NDI 8700340  s/n:34802401	7045	1	OK	0.5808891	-0.4736397	-0.0138283	-0.6618474	62.286	242.522	-95.090	0.2366432	0
1	Port 2: NDI 8700340  s/n:34802401	7048	1	OK	0.5781013	-0.4738631	-0.0136390	-0.6641284	60.453	246.507	-95.211	0.2440621	0
1	Port 2: NDI 8700340  s/n:34802401	7051	1	OK	0.5752583	-0.4741788	-0.0117283	-0.6664043	58.626	250.944	-95.431	0.2598445	0
1	Port 2: NDI 8700340  s/n:34802401	7054	1	OK	0.5712603	-0.4747110	-0.0103807	-0.6694799	56.607	255.636	-95.225	0.2739992	0
1	Port 2: NDI 8700340  s/n:34802401	7057	1	OK	0.5684239	-0.4753754	-0.0076567	-0.6714566	54.308	260.645	-94.869	0.2625147	0
1	Port 2: NDI 8700340  s/n:34802401	7060	1	OK	0.5642461	-0.4757684	-0.0055569	-0.6747147	52.246	265.813	-94.792	0.2557922	0
1	Port 2: NDI 8700340  s/n:34802401	7063	1	OK	0.5606596	-0.4759337	-0.0022647	-0.6776007	50.292	271.094	-94.966	0.2838438	0
1	Port 2: NDI 8700340  s/n:34802401	7066	1	OK	0.5578444	-0.4758051	-0.0002577	-0.6800140	48.577	275.784	-95.624	0.2788755	0
1	Port 2: NDI 8700340  s/n:34802401	7069	1	OK	0.5553073	-0.4750954	0.0027530	-0.6825764	47.781	279.901	-97.163	0.3005050	0
1	Port 2: NDI 8700340  s/n:34802401	7072	1	OK	0.5531215	-0.4751134	0.0036662	-0.6843321	47.256	282.387	-98.657	0.3035755	0
1	Port 2: NDI 8700340  s/n:34802401	7075	1	OK	0.5536055	-0.4759682	0.0051270	-0.6833366	48.096	282.400	-99.229	0.3248273	0
1	Port 2: NDI 8700340  s/n:34802401	7078	1	OK	0.5546276	-0.4769686	0.0053866	-0.6818065	49.041	280.945	-99.237	0.3001069	0
1	Port 2: NDI 8700340  s/n:34802401	7081	1	OK	0.5551311	-0.4783563	0.0040320	-0.6804325	50.985	277.825	-98.767	0.2850799	0
1	Port 2: NDI 8700340  s/n:34802401	7084	1	OK	0.5563511	-0.4804198	0.0020742	-0.6779867	53.112	273.912	-98.019	0.2802592	0
1	Port 2: NDI 8700340  s/n:34802401	7087	1	OK	0.5585412	-0.4810101	-0.0007838	-0.6757665	55.756	269.796	-98.147	0.2742161	0
