Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	31417	1	OK	-0.3107745	-0.4741548	-0.7520872	-0.3360971	-79.631	-188.103	164.289	0.3111495	0
1	Port 2: NDI 8700340  s/n:34802401	31420	1	OK	-0.3072064	-0.4779737	-0.7509317	-0.3365515	-78.801	-188.062	164.362	0.3199808	0
1	Port 2: NDI 8700340  s/n:34802401	31423	1	OK	-0.3083536	-0.4747140	-0.7538109	-0.3336673	-77.927	-187.005	163.823	0.3270594	0
1	Port 2: NDI 8700340  s/n:34802401	31426	1	OK	-0.3067281	-0.4772970	-0.7516371	-0.3363736	-78.053	-187.141	162.929	0.3220969	0
1	Port 2: NDI 8700340  s/n:34802401	31429	1	OK	-0.3067193	-0.4755185	-0.7530721	-0.3356901	-77.887	-187.183	162.502	0.3290622	0
1	Port 2: NDI 8700340  s/n:34802401	31432	1	OK	-0.3046444	-0.4762735	-0.7532923	-0.3360151	-77.649	-187.626	162.565	0.2996113	0
1	Port 2: NDI 8700340  s/n:34802401	31435	1	OK	-0.3043773	-0.4745768	-0.7550217	-0.3347739	-77.298	-187.674	162.643	0.3377562	0
1	Port 2: NDI 8700340  s/n:34802401	31438	1	OK	-0.3042290	-0.4727575	-0.7571962	-0.3325643	-76.571	-187.294	163.128	0.3355316	0
1	Port 2: NDI 8700340  s/n:34802401	31441	1	OK	-0.3032268	-0.4731925	-0.7568333	-0.3336850	-76.243	-187.679	162.991	0.3239087	0
1	Port 2: NDI 8700340  s/n:34802401	31444	1	OK	-0.3031598	-0.4713949	-0.7584587	-0.3325980	-75.858	-187.960	163.132	0.3488045	0
1	Port 2: NDI 8700340  s/n:34802401	31447	1	OK	-0.3027002	-0.4702897	-0.7590903	-0.3331396	-75.168	-188.204	162.466	0.3392459	0
1	Port 2: NDI 8700340  s/n:34802401	31450	1	OK	-0.3023528	-0.4691076	-0.7602815	-0.3324048	-74.553	-188.135	162.575	0.3475914	0
1	Port 2: NDI 8700340  s/n:34802401	31453	1	OK	-0.3012245	-0.4704124	-0.7595180	-0.3333292	-74.291	-188.244	162.658	0.3529746	0
1	Port 2: NDI 8700340  s/n:34802401	31456	1	OK	-0.3019271	-0.4682566	-0.7610113	-0.3323215	-73.681	-187.994	162.378	0.3372028	0
1	Port 2: NDI 8700340  s/n:34802401	31459	1	OK	-0.3012093	-0.4689809	-0.7603704	-0.3334168	-73.228	-188.010	162.535	0.3206690	0
1	Port 2: NDI 8700340  s/n:34802401	31462	1	OK	-0.3011552	-0.4687983	-0.7604971	-0.3334333	-72.763	-187.834	162.549	0.3399009	0
1	Port 2: NDI 8700340  s/n:34802401	31465	1	OK	-0.3009782	-0.4685652	-0.7604836	-0.3339514	-72.361	-187.947	162.251	0.3609272	0
1	Port 2: NDI 8700340  s/n:34802401	31468	1	OK	-0.3002380	-0.4690222	-0.7599682	-0.3351472	-71.639	-187.978	162.030	0.3523073	0
1	Port 2: NDI 8700340  s/n:34802401	31471	1	OK	-0.3005600	-0.4690595	-0.7598719	-0.3350247	-71.089	-187.485	161.966	0.3430606	0
1	Port 2: NDI 8700340  s/n:34802401	31474	1	OK	-0.3006719	-0.4703054	-0.7586721	-0.3358957	-70.669	-187.170	161.442	0.3550747	0
1	Port 2: NDI 8700340  s/n:34802401	31477	1	OK	-0.3007408	-0.4697382	-0.7590344	-0.3358090	-69.868	-187.014	161.295	0.3591222	0
1	Port 2: NDI 8700340  s/n:34802401	31480	1	OK	-0.3010851	-0.4688385	-0.7594913	-0.3357249	-69.129	-186.968	161.297	0.3687348	0
1	Port 2: NDI 8700340  s/n:34802401	31483	1	OK	-0.3016770	-0.4684105	-0.7595098	-0.3357492	-68.415	-186.746	161.074	0.3654646	0
1	Port 2: NDI 8700340  s/n:34802401	31486	1	OK	-0.3018898	-0.4687630	-0.7592490	-0.3356555	-67.766	-186.578	160.943	0.3782043	0
1	Port 2: NDI 8700340  s/n:34802401	31489	1	OK	-0.3021107	-0.4699359	-0.7582616	-0.3360488	-67.221	-186.013	160.892	0.3486131	0
1	Port 2: NDI 8700340  s/n:34802401	31492	1	OK	-0.3028933	-0.4695472	-0.7582414	-0.3359330	-66.671	-185.576	160.825	0.3575203	0
1	Port 2: NDI 8700340  s/n:34802401	31495	1	OK	-0.3035245	-0.4691677	-0.7578872	-0.3366921	-66.152	-185.414	160.619	0.3494710	0
1	Port 2: NDI 8700340  s/n:34802401	31498	1	OK	-0.3037121	-0.4688726	-0.7579093	-0.3368841	-65.237	-184.974	160.625	0.3726669	0
1	Port 2: NDI 8700340  s/n:34802401	31501	1	OK	-0.3033751	-0.4701068	-0.7574618	-0.3364739	-64.259	-184.109	160.696	0.3358102	0
1	Port 2: NDI 8700340  s/n:34802401	31504	1	OK	-0.3034562	-0.4707739	-0.7568768	-0.3367845	-63.607	-183.841	160.447	0.3628677	0
1	Port 2: NDI 8700340  s/n:34802401	31507	1	OK	-0.3041999	-0.4703141	-0.7572302	-0.3359605	-62.475	-183.274	160.268	0.3401506	0
1	Port 2: NDI 8700340  s/n:34802401	31510	1	OK	-0.3044421	-0.4705224	-0.7570552	-0.3358439	-61.241	-182.941	160.186	0.3365710	0
1	Port 2: NDI 8700340  s/n:34802401	31513	1	OK	-0.3050182	-0.4704091	-0.7569089	-0.3358096	-59.946	-182.764	159.967	0.3081481	0
1	Port 2: NDI 8700340  s/n:34802401	31516	1	OK	-0.3050930	-0.4720905	-0.7556075	-0.3363126	-58.667	-182.595	159.971	0.3138629	0
1	Port 2: NDI 8700340  s/n:34802401	31519	1	OK	-0.3060299	-0.4725939	-0.7551228	-0.3358427	-57.316	-182.156	159.928	0.2750042	0
1	Port 2: NDI 8700340  s/n:34802401	31522	1	OK	-0.3071513	-0.4733440	-0.7543855	-0.3354192	-56.009	-181.540	160.162	0.2335910	0
1	Port 2: NDI 8700340  s/n:34802401	31525	1	OK	-0.3081163	-0.4740790	-0.7535995	-0.3352629	-54.787	-181.120	160.113	0.2464692	0
1	Port 2: NDI 8700340  s/n:34802401	31528	1	OK	-0.3080359	-0.4756562	-0.7527495	-0.3350123	-53.252	-180.565	160.358	0.2138299	0
1	Port 2: NDI 8700340  s/n:34802401	31531	1	OK	-0.3086980	-0.4758277	-0.7524981	-0.3347240	-52.000	-180.245	160.261	0.2217227	0
1	Port 2: NDI 8700340  s/n:34802401	31534	1	OK	-0.3086148	-0.4767759	-0.7519923	-0.3345882	-50.699	-179.935	160.288	0.2247444	0
