Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	67756	1	OK	0.4345952	0.5664477	0.6978094	-0.0576724	80.174	-238.659	162.560	0.2300528	0
1	Port 2: NDI 8700340  s/n:34802401	67759	1	OK	0.4340120	0.5666949	0.6980242	-0.0570328	80.253	-238.737	162.852	0.2499697	0
1	Port 2: NDI 8700340  s/n:34802401	67762	1	OK	0.4346320	0.5665252	0.6978207	-0.0564845	80.390	-238.759	162.203	0.2313596	0
1	Port 2: NDI 8700340  s/n:34802401	67765	1	OK	0.4348242	0.5669731	0.6973160	-0.0567441	80.299	-238.797	162.313	0.2342402	0
1	Port 2: NDI 8700340  s/n:34802401	67768	1	OK	0.4347458	0.5670974	0.6971556	-0.0580580	80.177	-238.740	162.877	0.2485465	0
1	Port 2: NDI 8700340  s/n:34802401	67771	1	OK	0.4346943	0.5667656	0.6972982	-0.0599403	80.190	-238.799	162.881	0.2362297	0
1	Port 2: NDI 8700340  s/n:34802401	67774	1	OK	0.4348666	0.5670504	0.6969246	-0.0603394	80.124	-239.163	162.585	0.2361007	0
1	Port 2: NDI 8700340  s/n:34802401	67777	1	OK	0.4353033	0.5670219	0.6965748	-0.0614875	80.074	-239.237	162.378	0.2585563	0
1	Port 2: NDI 8700340  s/n:34802401	67780	1	OK	0.4357202	0.5673567	0.6961007	-0.0608127	80.157	-239.289	162.456	0.2446561	0
1	Port 2: NDI 8700340  s/n:34802401	67783	1	OK	0.4358515	0.5679659	0.6954010	-0.0621741	79.798	-239.608	162.297	0.2630970	0
1	Port 2: NDI 8700340  s/n:34802401	67786	1	OK	0.4365908	0.5686643	0.6943136	-0.0627543	79.919	-239.668	161.968	0.2590439	0
1	Port 2: NDI 8700340  s/n:34802401	67789	1	OK	0.4370373	0.5683447	0.6942437	-0.0633115	79.975	-239.758	161.876	0.2554854	0
1	Port 2: NDI 8700340  s/n:34802401	67792	1	OK	0.4372824	0.5687442	0.6936797	-0.0642074	79.839	-239.901	161.670	0.2426447	0
1	Port 2: NDI 8700340  s/n:34802401	67795	1	OK	0.4376979	0.5686966	0.6933614	-0.0652281	79.859	-239.914	161.292	0.2472251	0
1	Port 2: NDI 8700340  s/n:34802401	67798	1	OK	0.4382422	0.5687266	0.6930222	-0.0649159	79.782	-240.030	161.169	0.2423849	0
1	Port 2: NDI 8700340  s/n:34802401	67801	1	OK	0.4385060	0.5687496	0.6927440	-0.0658949	79.447	-240.235	161.015	0.2561196	0
1	Port 2: NDI 8700340  s/n:34802401	67804	1	OK	0.4391393	0.5686915	0.6923950	-0.0658471	79.630	-240.281	160.537	0.2356260	0
1	Port 2: NDI 8700340  s/n:34802401	67807	1	OK	0.4398291	0.5685719	0.6919822	-0.0666102	79.559	-240.327	160.122	0.2533024	0
1	Port 2: NDI 8700340  s/n:34802401	67810	1	OK	0.4403074	0.5677993	0.6923027	-0.0667109	79.214	-240.934	159.818	0.2404710	0
1	Port 2: NDI 8700340  s/n:34802401	67813	1	OK	0.4418539	0.5657190	0.6931954	-0.0648634	78.153	-242.296	159.113	0.2570563	0
1	Port 2: NDI 8700340  s/n:34802401	67816	1	OK	0.4437808	0.5615130	0.6955441	-0.0630881	76.763	-243.987	158.079	0.2536116	0
1	Port 2: NDI 8700340  s/n:34802401	67819	1	OK	0.4451791	0.5583648	0.6975271	-0.0591641	75.152	-246.116	157.387	0.2334948	0
1	Port 2: NDI 8700340  s/n:34802401	67822	1	OK	0.4459272	0.5559142	0.6991221	-0.0577634	73.769	-247.749	157.377	0.2516536	0
1	Port 2: NDI 8700340  s/n:34802401	67825	1	OK	0.4457307	0.5555032	0.6994823	-0.0588626	73.405	-248.572	157.682	0.2694001	0
1	Port 2: NDI 8700340  s/n:34802401	67828	1	OK	0.4462201	0.5538443	0.7005039	-0.0586381	72.983	-249.606	157.732	0.2467173	0
1	Port 2: NDI 8700340  s/n:34802401	67831	1	OK	0.4476455	0.5527557	0.7004606	-0.0585616	72.036	-250.490	157.257	0.2387415	0
1	Port 2: NDI 8700340  s/n:34802401	67834	1	OK	0.4481644	0.5506560	0.7017506	-0.0589293	71.759	-251.261	156.865	0.2705981	0
